"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"11432",0,0,0,0,0,0,0,0
"27923",1,0,0,0,0,0,0,0
"21540",0,0,0,0,0,0,1,0
"22214",0,0,0,0,0,0,0,0
"32976",0,0,1,0,0,1,0,0
"29967",1,1,0,0,0,0,0,0
"19609",0,0,0,0,0,0,0,0
"29187",1,0,0,0,1,1,1,1
"32336",0,1,0,0,0,0,0,0
"16820",0,0,0,0,0,0,0,0
"14171",0,0,0,0,0,0,0,0
"25360",1,0,0,1,1,1,1,0
"41327",1,0,0,0,1,0,0,0
"30949",0,0,0,0,0,0,0,0
"32242",0,1,0,0,0,0,1,0
"23191",1,0,0,0,0,0,0,0
"26050",0,0,0,0,0,0,0,0
"28992",0,0,0,1,1,1,1,1
"33066",0,1,0,0,0,0,0,0
"26599",0,0,0,0,0,0,0,0
"14992",0,0,0,0,0,0,0,1
"18992",0,1,0,0,0,0,0,0
"35778",0,0,0,0,0,0,0,0
"31474",0,0,0,0,1,1,1,0
"30939",0,1,0,1,1,1,0,0
"24272",1,1,1,0,1,0,0,0
"13247",1,1,0,1,1,0,0,0
"23601",0,1,0,0,0,0,0,0
"22712",0,0,0,0,0,0,0,0
"31905",0,0,1,1,0,0,0,0
"24359",0,0,0,0,0,0,0,0
"30444",0,0,1,1,1,0,0,0
"33319",0,0,0,0,0,0,0,0
"33525",1,0,0,0,0,0,0,0
"25372",0,1,0,0,0,0,0,0
"22618",1,0,0,0,0,0,0,0
"33011",1,0,0,0,0,0,0,0
"31531",0,0,0,0,0,0,1,0
"31835",0,0,0,0,0,0,0,0
"31415",0,0,0,0,0,0,0,0
"20494",0,0,0,0,0,0,0,0
"32551",0,0,0,0,0,0,0,0
"31936",0,0,1,0,0,1,0,0
"28265",0,0,1,0,0,0,0,0
"42908",1,0,0,0,0,0,0,0
"31544",0,0,0,0,0,0,0,0
"15043",0,0,1,0,1,1,0,0
"15871",0,1,0,0,0,0,0,0
"42920",0,0,0,0,0,0,0,0
"30716",0,0,0,0,0,0,0,0
"16141",0,0,0,0,0,0,0,0
"24947",1,0,0,1,1,0,0,0
"40185",0,0,1,0,0,0,0,0
"23140",0,0,1,0,0,0,0,0
"32251",0,0,0,0,0,1,0,0
"24261",0,0,1,0,0,0,0,0
"42914",0,0,0,0,0,0,0,0
"25814",1,1,1,1,1,1,1,1
"28038",0,0,1,1,0,0,1,0
"16031",0,0,1,0,0,0,0,0
"39907",0,0,0,0,0,0,0,0
"30247",0,0,0,0,0,0,0,0
"35771",0,1,0,0,0,0,0,0
"36982",0,0,0,0,0,1,0,0
"31633",0,0,1,1,1,0,0,0
"11384",0,0,0,0,0,0,0,0
"25999",1,0,0,0,0,0,0,0
"14095",0,0,0,0,0,0,0,0
"33313",1,0,0,0,0,0,0,0
"11422",0,0,0,0,0,0,0,0
"14886",0,0,0,0,0,0,0,0
"30141",0,0,0,0,0,0,0,0
"29160",0,0,0,1,0,1,1,0
"25215",1,0,0,0,0,0,0,0
"32992",0,0,0,0,0,0,0,0
"32134",0,0,0,0,0,0,0,0
"12764",0,0,0,0,0,0,0,0
"15929",1,1,0,0,0,0,0,0
"29064",0,0,0,0,0,0,0,0
"26718",0,0,0,1,0,0,0,0
"26047",0,0,0,0,0,0,0,0
"27398",0,0,0,0,0,0,0,0
"42919",0,0,0,0,0,0,0,0
"25906",0,0,0,0,0,0,0,0
"18456",0,1,1,0,0,0,0,0
"15049",0,0,0,0,0,0,0,0
"22953",0,1,0,0,0,0,0,0
"12047",0,0,0,0,0,0,0,0
"26015",0,0,0,0,0,0,0,0
"13660",0,0,0,0,0,0,0,0
"17408",0,0,0,0,0,0,0,0
"26093",0,1,0,0,0,0,0,0
"33358",0,0,1,0,0,0,1,0
"18472",0,1,1,1,0,0,0,0
"12553",0,0,0,1,0,0,0,0
"31240",0,0,0,0,0,0,0,0
"22435",0,0,0,0,0,0,0,0
"30997",0,1,1,0,0,0,0,0
"17442",0,1,0,0,0,0,0,0
"42009",1,0,0,1,0,0,0,0
"29036",0,0,0,0,0,0,0,0
"35899",0,1,0,0,0,0,0,0
"19367",0,0,0,0,0,0,0,0
"32879",1,0,0,0,0,0,0,0
"30070",0,0,0,0,0,0,0,0
"32995",0,0,0,0,0,0,0,0
"31278",0,0,0,1,0,0,0,0
"19436",1,1,0,0,0,0,0,0
"11415",0,0,0,0,0,0,0,1
"39858",0,0,0,1,0,0,0,0
"33659",0,0,0,0,0,0,0,0
"28815",0,0,0,0,0,0,0,0
"24732",0,0,0,0,0,0,0,0
"27709",1,0,0,0,1,0,0,0
"40015",0,0,0,0,0,0,0,0
"40535",0,0,0,0,0,0,0,0
"37477",0,0,0,0,0,0,0,0
"15928",0,0,0,0,0,0,0,0
"35663",0,0,0,0,0,0,0,0
"29617",1,0,1,0,1,1,0,0
"27067",0,0,0,0,0,0,0,0
"27484",0,0,0,0,0,0,0,0
"30925",0,0,0,0,0,0,0,0
"26627",0,0,0,0,0,0,0,0
"30170",1,0,0,0,0,0,0,0
"22793",1,0,0,0,0,0,0,0
"20142",0,0,0,0,0,0,0,0
"33320",1,0,0,0,0,0,0,0
"22832",0,0,0,0,0,0,0,0
"30812",0,0,0,0,0,0,0,0
"31879",0,1,1,1,1,0,1,0
"31294",0,0,0,0,0,0,0,0
"36653",0,0,1,0,0,0,0,0
"30280",0,1,1,1,1,0,0,0
"24790",0,1,0,0,0,0,0,0
"36911",1,0,1,1,0,0,0,0
"36294",0,0,0,0,0,0,0,0
"35602",0,0,0,0,0,0,0,0
"41994",0,0,0,0,0,0,0,0
"16840",1,1,0,0,0,0,0,0
"31136",1,1,0,1,0,0,1,0
"31845",0,0,0,0,0,0,0,0
"36689",0,0,0,0,0,0,0,0
"10482",0,0,0,0,0,0,0,0
"38347",1,0,0,1,1,0,0,0
"27337",0,0,1,0,0,0,0,0
"32183",0,0,0,0,0,0,0,0
"15665",0,0,0,0,0,0,0,0
"22933",1,0,0,0,0,0,0,0
"28239",0,0,0,0,0,0,0,0
"29821",0,0,0,0,0,0,0,0
"12338",0,0,0,1,0,0,0,0
"32345",0,0,0,0,0,0,0,0
"17325",0,0,0,0,0,0,0,0
"30570",0,0,0,0,0,0,0,0
"30988",0,0,1,0,0,0,0,0
"23779",0,0,0,0,0,0,0,0
"30717",0,0,0,0,0,0,0,0
"31248",1,0,0,0,0,0,0,0
"29158",0,0,1,0,0,0,0,0
"27966",0,0,0,0,0,0,0,0
"32181",0,0,0,0,0,0,0,0
"36777",0,1,0,0,0,0,0,0
"31852",0,0,0,0,0,0,0,0
"14007",0,0,0,0,0,0,0,0
"32835",0,0,0,0,0,0,0,0
"33452",0,1,1,1,0,1,0,0
"36713",0,0,0,1,1,1,1,0
"31014",1,0,0,0,0,0,0,0
"27546",0,0,0,0,0,0,0,1
"32406",0,0,0,0,0,0,0,0
"36901",0,0,1,0,0,0,0,0
"11444",0,0,0,0,0,0,0,0
"31438",1,1,0,1,1,0,0,1
"17504",0,0,0,0,0,0,0,0
"40919",0,1,1,0,0,0,0,0
"30386",0,0,0,0,0,0,0,0
"30272",1,0,1,1,0,0,1,0
"21360",0,0,0,0,1,0,0,0
"32965",0,0,0,0,0,0,0,0
"15948",0,1,0,0,1,0,0,0
"26185",0,0,0,0,0,0,0,0
"30971",0,0,0,0,0,0,0,0
